A,Y,C
-1.027336965,-0.548364811,0
-0.110578267,-1.984453746,0
0.588459016,-2.468267528,0
-1.419015003,-1.310880142,0
-0.645499225,0.277290744,0
-0.037962485,-1.065238678,0
-0.41765545,-1.560216151,0
-2.507188402,0.172574595,0
-0.852614447,1.481399606,0
-1.177131844,0.137284197,0
0.571830961,-0.657880654,0
-0.076867426,0.393895437,0
-1.310431068,0.858792538,0
0.239247966,-1.02411204,0
0.558781914,-0.573693688,0
-1.270963868,0.444730235,0
-0.95453784,-0.573510654,0
-1.733263211,-1.35059215,0
-0.669351325,0.635132306,0
-0.779670137,-0.223801511,0
-0.366885007,0.200288421,0
-0.47514317,-2.161802733,0
-1.390771669,0.231385211,0
-1.365855314,0.506730867,0
0.608090792,-1.21659213,0
0.065259321,-0.704780495,0
-1.377482371,1.078918862,0
-2.270541801,-0.599407923,0
-1.415168097,-0.729587692,0
-0.099744519,-2.244025701,0
-1.729864506,-1.50318846,0
-0.760258235,-0.596993686,0
-0.873785963,-0.894891639,0
-1.344894766,-0.124210455,0
-1.699951963,-1.996681536,0
-0.887573267,-0.139448806,0
-0.809895378,0.001129888,0
0.061502285,-0.225813485,0
-1.063554224,0.362893552,0
-0.676613385,-1.668250965,0
-0.276910944,0.650745256,0
-0.701140444,1.185551698,0
-0.21302355,-0.993879023,0
-0.30276009,-1.15705979,0
0.273494193,-1.600675735,0
-0.042268782,-0.784585163,0
-0.276061466,0.128315415,0
-1.075618722,-0.036259744,0
-1.544542342,0.5780661,0
-1.879726187,1.110001277,0
-0.866845916,-0.64073242,0
-1.855048729,-0.628215548,0
-1.502309495,1.390325798,0
-1.46171798,0.453467149,0
-1.376135056,1.096381139,0
-0.652258247,-0.834073856,0
0.251314459,-0.262014838,0
-0.432843108,0.154956887,0
-0.286172847,-0.19081837,0
-0.000496858,-0.682521191,0
-1.966594945,-0.501228818,0
-1.541209607,-0.95562508,0
-0.195433916,-0.294360975,0
0.85859998,-1.763965988,0
-1.0674082,-1.390636054,0
-1.97322213,0.655006026,0
-1.244245416,0.454130094,0
-0.272187113,0.466042835,0
-0.721586235,-0.154650718,0
-1.400711625,-0.637025702,0
-0.71843703,0.159118881,0
-0.053119363,-0.917999749,0
-0.672981223,-1.755320967,0
-1.170748544,-0.240430069,0
-0.9141303,-0.573224374,0
0.518482983,-1.160450742,0
-0.177290841,-0.981891172,0
0.227292909,-0.138414348,0
-0.021806768,-0.453047921,0
0.201091569,-1.153739364,0
-1.694328361,1.029320471,0
-0.616462762,-2.044986556,0
-1.128958618,-4.050653044,0
-1.209674325,-0.372770824,0
1.168419344,-2.779359526,0
0.351753611,-0.344544118,0
-0.631739822,-0.565382055,0
0.249432203,-1.193042467,0
-0.134051133,-0.490444876,0
0.393643049,-0.349403127,0
-0.903416261,-0.662876619,0
-0.188656411,-0.709814763,0
0.453130896,-0.631083661,0
-0.27099673,-0.06401474,0
-0.28200044,0.38517158,0
0.500627735,-1.411868552,0
0.935787189,0.504196001,0
-0.974568285,-0.053239912,0
-0.030057507,-0.503968022,0
-0.040179061,-0.578580651,0
-0.216024225,-0.29860626,0
-0.790607567,0.195027346,0
0.022049841,-1.813217488,0
0.607350376,-2.446852098,0
-1.129524226,0.32412496,0
-1.265500702,-0.793857138,0
-1.438448414,0.171554223,0
1.080638883,-0.669995264,0
0.582265732,-1.166750765,0
-0.545686114,-0.038229658,0
0.564925293,-0.341461801,0
0.247017532,-1.03377259,0
-0.751935404,-0.343969363,0
-0.286097208,-1.568219636,0
-0.310321351,-1.084183324,0
-0.817276542,-1.160720262,0
0.96574048,-1.72134572,0
1.349173129,-1.315879661,0
-1.606516651,0.003725974,0
-0.873780682,-1.045308976,0
-0.260742395,-0.765853492,0
0.001324488,-2.515074065,0
-2.931765026,-0.045146454,0
-1.360623685,0.404712424,0
-0.15003061,-1.60633531,0
0.529473918,-1.223828826,0
-1.116749656,-0.460412326,0
0.342112553,-0.684492129,0
0.017057438,0.028264682,0
1.228498229,-0.057761227,0
-0.70807153,0.80881259,0
-0.619799155,-0.48593733,0
-1.704786246,1.47180965,0
-0.9342323,-2.999864586,0
0.395405705,-1.183813275,0
0.752441932,-1.893870555,0
-0.757123789,-0.201186883,0
-1.09725019,0.620110153,0
0.476484234,-0.896133634,0
-1.774322586,-1.103564749,0
-1.807809327,-0.867211981,0
-0.880940855,-0.945857516,0
-0.892556911,-1.577613467,0
-0.733107066,0.549809996,0
-0.912912709,-1.39547399,0
-0.656258014,0.124697866,0
0.434309712,-1.536159642,0
-0.292814781,-2.296794738,0
-0.485779018,0.143874739,0
0.327009379,-1.545702342,0
0.192471475,-0.591058641,0
-0.93233624,-0.758366809,0
0.231974295,-1.041501819,0
0.387292242,-0.851245436,0
-0.391489928,-0.658984666,0
-1.115323287,0.619968488,0
-1.986601228,0.66916176,0
-1.427690597,-0.118280619,0
-1.967138898,0.706400729,0
0.817432931,-0.445005533,0
-0.297873453,-1.22451479,0
-0.40617239,-0.032874346,0
-0.419135676,-0.039281634,0
-2.445314443,-1.583455254,0
-0.15084707,0.225592472,0
0.943381611,-0.865318672,0
1.08674839,-1.060986647,0
0.051361182,-0.468772997,0
-0.446795419,-0.8510073,0
0.002496819,-1.146604088,0
-0.526806044,0.197439313,0
0.782155396,-0.96922563,0
-0.38095852,0.130511134,0
0.811775988,-1.580862033,0
0.271963255,-1.89419043,0
-0.030973253,-1.035770741,0
0.00769686,-0.749031747,0
-0.626721094,-1.683185594,0
-1.541579874,0.11147194,0
-0.510771375,0.134711784,0
-0.286716247,0.196018047,0
0.308806012,-0.703609083,0
-1.42331535,0.79695566,0
-0.540186048,0.434560979,0
-1.088022949,0.520543511,0
-1.657012183,0.187323845,0
-0.725599903,1.066094525,0
-0.096022362,-0.382103418,0
-0.017145621,-0.410719892,0
-2.059812782,0.856745377,0
0.896577742,-0.940624858,0
-1.565566232,-0.170063557,0
-1.8937693,0.50206316,0
-0.298073091,-0.78744224,0
-2.188057233,1.541334785,0
-1.248210691,0.436898206,0
-0.986712139,-2.00605625,0
-0.238936119,1.015186098,0
-0.718926291,-1.60102233,0
0.201434352,-0.168346017,0
-1.841152117,0.104267612,0
-1.414470132,0.717483833,0
-0.565276232,-1.061221982,0
-1.021971005,-0.012079016,0
-0.070255489,0.42351403,0
-1.359721274,-0.341074074,0
-0.390349868,-0.546389669,0
-1.112308867,-0.686104496,0
0.209547107,-0.08631278,0
-0.862995315,0.624867413,0
-0.026925369,-0.768536064,0
1.580057395,-1.004802374,0
-1.024641317,0.548990845,0
-1.817223505,0.287632018,0
-0.102937833,-1.046813266,0
0.59043573,-0.462524576,0
0.505756666,-1.39451948,0
-0.496951113,-0.246579392,0
0.857401468,-1.436169272,0
-1.243806276,-0.915844319,0
-1.232025491,-1.098874059,0
-0.609523358,0.760025941,0
-1.682515908,-0.653001697,0
0.458757119,-0.622559604,0
-1.392866662,-1.043336055,0
-0.742632172,-0.142349002,0
0.118028441,-0.773318266,0
-0.921211575,0.95574783,0
1.516679782,-2.714324206,0
-1.006310465,-1.518895467,0
-0.673124808,-0.847555599,0
0.584432581,-0.797475781,0
-0.87819818,-0.954404107,0
0.087265993,-1.422045651,0
-0.57512303,0.155547656,0
0.305829125,-0.735614722,0
-0.168003981,-0.860875392,0
-0.20615652,-1.311690766,0
-0.815611429,0.81276771,0
0.512303435,-1.181865241,0
-0.033812638,0.716469673,0
-2.050653201,-0.531899014,0
-0.515913384,-0.105673979,0
-0.106953994,-0.345709247,0
-1.969465642,-1.460585823,0
-0.466847797,-0.850196197,0
-1.154540932,1.274827388,0
0.990825218,-2.581080651,0
0.408532648,-1.874495226,0
-1.490892814,-0.024968818,0
-0.346778567,0.105746058,0
-1.005960442,-0.404569954,0
0.008912638,-0.586192888,0
-0.79488332,0.21180033,0
-0.119131816,-0.836297036,0
-1.203410497,0.500060858,0
-0.461202262,0.38162214,0
-0.922789493,-0.11006793,0
0.408836818,-0.51862674,0
-2.376390018,0.816427402,0
-0.665990765,0.341522489,0
-0.335961458,0.170606191,0
1.097145683,-0.369321672,0
-0.672104048,-0.132710925,0
-0.300103018,-1.549009322,0
0.670378324,-1.264607644,0
0.176498774,-0.807342618,0
0.048305069,-1.016927792,0
0.589192036,-0.442493278,0
-0.467423449,-0.76398278,0
-1.488018154,-1.626177008,0
-1.941734538,-1.98884957,0
-0.227334766,0.011276267,0
0.803641439,-2.050691217,0
0.491808377,-1.317467604,0
-0.834570264,-0.753457528,0
-1.170981606,-1.439998942,0
-0.087023173,-0.659107259,0
-1.308797429,0.306622498,0
-1.322303183,0.484737978,0
-0.046427029,-1.011827058,0
-0.739621608,-0.293859612,0
-0.293237619,-2.08068944,0
-1.995704593,0.254372765,0
-0.206903757,-1.048432328,0
-1.397130887,0.17066848,0
0.963386887,-0.542539999,0
-1.424877403,-0.271940424,0
0.988208851,-0.760669181,0
0.153214194,0.774907704,0
-1.342364483,-0.058224367,0
-0.982619531,0.080365912,0
-0.262007249,0.475226428,0
0.074162405,-1.258792455,0
0.518136965,-1.635518794,0
-1.307815745,-0.605819664,0
-0.651051441,-1.275076551,0
-1.602937534,0.580134361,0
1.746749202,-1.771633147,0
1.595433514,-2.289251313,0
0.435015414,-0.300361346,0
-0.019944488,-0.22782098,0
-0.580838761,0.032105418,0
-1.151126115,-1.078083548,0
1.217072174,-0.682813078,0
-0.435700674,-2.036769843,0
-1.320281981,0.178961803,0
-0.707046538,-0.056191249,0
-1.735282183,-0.227660042,0
-1.26116471,-0.829982447,0
-0.660214131,-1.361850945,0
-1.287417009,-1.062774442,0
-1.068965144,-1.568898683,0
0.335249237,-0.0988517,0
0.347921493,-0.414482985,0
-1.212693036,0.41474379,0
-0.790807543,-0.301709342,0
-1.904588974,-0.87350156,0
-2.971398108,1.602773271,0
-1.483569091,-0.339235982,0
-1.164411283,-2.191712814,0
-1.442877595,0.517542631,0
-1.805494351,0.501088128,0
-1.255321388,0.934124321,0
-1.964295492,-0.931396133,0
-1.200628082,0.054671681,0
0.360828199,-0.788821931,0
0.379968163,-0.173916737,0
0.002146115,-0.106348908,0
0.312886797,-1.38761099,0
-2.156827971,0.045137386,0
-1.454702287,-0.068174937,0
-1.150916027,-1.429968732,0
0.394726272,-0.573776806,0
-1.424934072,-2.552617439,0
-1.253451917,-0.939468954,0
-0.75076926,-0.454691986,0
-0.36286212,-1.46759984,0
-2.165952305,-0.265890559,0
-0.647772956,-0.015745024,0
0.086259877,0.156124933,0
0.685485047,-1.243637202,0
-1.261136966,-1.528863411,0
-0.318679818,-0.437121126,0
-0.864898667,0.818643204,0
-0.424120933,-0.364493925,0
0.148562482,-0.880654583,0
0.13268088,-1.765763078,0
-0.981425053,0.437900255,0
-0.971928282,2.082379812,0
-0.575647634,0.481746706,0
-2.86601334,0.936452126,0
0.144677228,-1.039315455,0
0.061888326,0.260713169,0
-0.374147789,0.004996279,0
-1.584470934,-0.874687136,0
-0.28673156,-0.687508884,0
1.467334175,-2.85697367,0
0.61729971,-1.560806115,0
-0.525999058,-0.355392332,0
-0.856947614,0.235995491,0
-0.129837194,-0.413548176,0
0.032758957,-2.963895575,0
-0.527742714,-0.888206082,0
-2.204661966,-0.510432244,0
-0.189204619,-1.926445325,0
0.821454237,-1.841875133,0
-1.719249859,0.019870859,0
-0.333063348,-1.199646316,0
0.177232567,-0.348166911,0
0.724895755,-1.502371406,0
0.583971128,-0.884638985,0
0.538913233,-0.447478986,0
0.693479164,-1.9952981,0
-0.816265261,0.644595401,0
-0.712226089,-1.888212383,0
-0.049653269,0.049411863,0
-1.037640238,0.784799322,0
-0.366283003,0.431439827,0
-0.881029164,-0.581897023,0
-0.529162413,-0.044332952,0
-1.882252331,0.199022472,0
-0.116352779,-1.161694813,0
-0.362706742,-0.497065538,0
-0.087057419,0.032295372,0
0.618632369,-0.492720387,0
0.267083434,-0.391855456,0
-0.976331941,0.292053964,0
-1.12867633,-0.252449903,0
-2.588829924,-1.939895108,0
-1.131329879,-1.303149093,0
-1.705029505,0.611037818,0
0.769982671,-1.131300285,0
-0.873749798,-0.603862975,0
-0.22998108,-0.619632181,0
0.135991781,-2.054647262,0
-1.324588788,-2.725235005,0
1.080443614,-2.177881568,0
-0.046619228,-2.138057521,0
